#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
5100000 +6 89474
12500000 +21 109649
3175000 +14 96212
7500000 +14 95541
3600000 +6 101124
10150000 +2 123030
3750000 +4 87209
4300000 +13 102381
22000000 ±0 127168
4500000 +8 115385
2500000 ±0 98039
5925000 +19 109722
2410000 +27 126842
6550000 +6 87333
4300000 +16 87755
3200000 +11 123077
3550000 +19 116393
6210000 +24 103500
3900000 +7 80412
4350000 +9 111538
4100000 +15 120588
7125000 +12 116803
10995000 ±0 99955
10000000 +11 120482
4485000 ±0 97500
7650000 +2 91071
10450000 +10 121512
8225000 +16 114236
9450000 ±0 92647
8450000 +19 124265
3000000 +13 100000
4750000 +6 93137
12550000 +26 113063
3610000 +21 100278
12000000 +14 139535
4850000 -3 73485
2700000 +13 135000
3025000 +10 100833
4160000 +26 106667
2950000 +23 110487
4285000 +7 112763
6675000 +21 125943
15500000 +5 104942
4490000 +7 99778
6375000 +15 93750
4100000 +24 120588
3465000 +16 101912
9800000 +26 164706
3995000 +25 117500
11900000 +16 115534
