#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
7150000 +15 117213
3100000 +7 110714
4000000 ±0 108108
3770000 +5 86667
3950000 +8 106757
4650000 +3 122368
10500000 +5 99057
9500000 -7 95960
4900000 +3 75969
3475000 ±0 99286
9700000 -8 91509
5500000 -2 82090
4650000 +6 86916
3380000 NaN 86667
6550000 -1 86755
3350000 -7 83750
3500000 +10 102941
5700000 ±0 95000
7600000 +1 91566
3275000 -2 94928
8720000 +1 116267
4600000 NaN 104545
3650000 +9 107353
3825000 +4 88953
3600000 +11 100000
3265000 +4 84805
4500000 +5 76271
4650000 -3 78814
3100000 +4 119231
6150000 +3 106034
3300000 +11 97059
10225000 +4 108777
5850000 ±0 112500
5550000 +6 82836
3550000 +13 100000
5875000 +4 83929
6900000 -4 85714
7325000 +5 110985
4360000 -3 80741
3560000 +13 101714
4900000 +4 98000
3375000 -5 71809
6150000 +3 106034
3315000 -7 100455
7100000 -1 80682
2760000 +2 102222
6150000 +7 96094
6250000 -2 97656
2575000 +3 107292
4100000 NaN 95349
