#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
4300000 -4 84314
7750000 +11 121094
3000000 +7 85714
6515000 ±0 85724
10125000 +4 121988
2900000 +17 96667
10000000 ±0 104167
3200000 +3 94118
4650000 +6 89423
5650000 -1 80714
3100000 +4 88571
3120000 +4 76098
7000000 +18 127273
4100000 NaN 97619
3520000 -5 103529
3905000 -2 84891
3950000 +1 90805
6500000 ±0 95588
6250000 +4 102459
4350000 +9 108750
3550000 +2 98611
3790000 +3 77347
3100000 -6 84932
3800000 +9 95000
4475000 +5 91327
3775000 -6 87791
5800000 +17 101754
5750000 -4 80986
4800000 +5 102128
1910000 +20 119375
2950000 -9 101724
3675000 -2 105000
3430000 +15 114333
3400000 +3 89474
5200000 +13 104000
3920000 -2 78400
7600000 +1 110145
3050000 +13 122000
2500000 -9 83333
2350000 -2 104444
4230000 +11 89053
3350000 +5 71277
3250000 +12 125000
5755000 +5 106574
6260000 +8 107931
4300000 +8 92873
3970000 +5 104474
6200000 -2 89855
5625000 +13 102273
3200000 +8 88889
