#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
5460000 +14 104000
4800000 +7 80672
5520000 +11 104151
5100000 +13 110870
3500000 +17 106061
9400000 +2 102174
5875000 +11 96311
15950000 ±0 130738
2600000 -4 130000
4950000 +24 101020
9150000 +17 107647
3050000 +15 112963
8575000 +13 112829
8000000 +10 120301
5200000 +12 118182
4550000 +15 116667
6680000 +8 93427
5550000 +23 118085
6300000 +5 100000
7950000 +10 90341
8550000 +14 106211
2350000 +7 104444
6550000 +6 111017
12500000 +4 114364
6875000 +15 127315
4650000 +14 103333
3525000 +18 95270
4500000 +16 112500
5210000 +7 104200
5190000 +9 103800
6000000 +7 89552
6600000 +15 111864
3000000 +31 107143
5300000 +13 115217
6900000 +15 118966
4000000 +18 105263
4000000 +16 100000
7050000 +9 99296
2960000 +12 164444
4460000 +13 101364
4850000 +13 86607
2410000 +21 126842
6700000 +16 111667
7000000 +19 127273
9250000 +19 132143
5600000 +18 127273
6250000 +9 97656
8500000 +8 118056
4400000 +5 94624
3580000 +20 95467
