#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3200000 +11 100000
4485000 +12 99667
7900000 +13 123438
4000000 +18 96386
3225000 +8 124038
2660000 +7 83125
3550000 +13 92208
7550000 +3 85795
11250000 +15 132353
5720000 +4 79444
2750000 -7 83333
2600000 +4 83871
2880000 +15 87009
3350000 +12 115517
3000000 +4 96774
10700000 NaN 111458
10000000 NaN 119048
3760000 +11 87442
3135000 +8 136304
3000000 +7 111111
3165000 +6 85541
3500000 -7 109375
4420000 NaN 97143
6900000 +2 93243
8650000 +7 104217
4200000 +6 91304
2010000 +1 118235
5800000 -3 86567
3900000 -2 70909
3950000 +7 87778
4050000 +7 96429
3300000 -1 91667
4600000 +23 112195
2625000 +20 154412
4050000 +10 90000
3900000 -2 84783
4500000 -6 71429
6550000 -6 94928
2750000 -5 63953
3000000 +16 118577
2710000 +9 108400
3850000 +17 93902
3325000 +21 158333
4175000 -1 85204
4650000 +8 83036
3500000 +11 107692
7580000 +21 111471
6100000 +3 85915
8000000 -5 95238
5700000 +8 111765
