#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3570000 +12 89250
8300000 -3 77209
3850000 +4 83696
3560000 +13 101714
3030000 +6 94688
2660000 +22 115652
4000000 +5 105263
2700000 +23 114894
7250000 +4 76316
6925000 +7 106538
3520000 +4 85854
4155000 +16 101341
2870000 +3 102500
3925000 ±0 69469
4000000 +5 88889
3150000 -1 78750
3150000 -1 82895
2725000 -6 82576
3520000 +14 88000
6375000 +6 104508
4880000 +22 116190
4195000 ±0 68770
3695000 ±0 75408
7700000 -4 111594
14250000 +10 113095
4400000 +10 97778
6750000 -5 81325
2950000 +6 105357
6300000 +5 108621
4650000 +8 91176
3530000 +5 85060
6500000 +8 103175
4365000 ±0 94891
5700000 +2 83824
2750000 +4 101852
10000000 NaN 76923
3050000 -5 80263
2875000 +7 87121
3300000 ±0 70213
2830000 +13 97586
13550000 +30 96099
2895000 +16 91905
15700000 +31 140179
4110000 +8 79038
5750000 +1 102679
8200000 -3 69492
3495000 ±0 97083
3985000 +14 107703
7625000 +19 125000
3215000 +4 82436
