#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3350000 +6 104688
4275000 +7 104268
3700000 +6 86047
3300000 +14 113793
3130000 +8 72791
2750000 ±0 94828
3400000 +14 86076
9800000 +15 122500
3400000 +3 89474
4600000 +2 75410
4100000 +3 87234
3200000 +12 86486
10750000 +34 123563
3610000 +10 106176
3100000 +4 93939
3100000 +4 88571
5500000 NaN 93220
8400000 +5 105000
2950000 +6 122917
4300000 +12 100000
7500000 +5 78947
3050000 +22 78205
2700000 +10 88525
9860000 NaN 90046
2790000 +12 121304
4330000 +8 84902
4560000 -5 103636
2550000 +16 94444
2700000 +8 135000
7500000 +7 101351
4120000 +18 103000
7200000 +6 105882
6000000 ±0 81081
3795000 ±0 84333
3495000 ±0 97083
2950000 +18 118000
3450000 +2 82143
4800000 +7 84211
3300000 +3 103125
3500000 +9 100000
4230000 +13 120857
3350000 +6 98529
4450000 +11 103488
4150000 +7 87368
6700000 +3 91781
3400000 -3 86076
3300000 ±0 83544
3970000 +5 104474
4500000 +5 102273
7495000 ±0 96090
