#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
12700000 +1 90714
4400000 +14 104762
2315000 +5 102889
4300000 +8 95556
3670000 +23 96579
2850000 +4 96610
4550000 +4 85849
6150000 +3 79355
3700000 +6 97368
7040000 +8 76522
8300000 +14 90217
3950000 +7 85870
3300000 +10 97059
5400000 +8 105882
5675000 +8 111275
3695000 ±0 82111
6590000 +14 85032
4140000 +6 108947
2800000 ±0 116667
6550000 +11 77976
6995000 ±0 88544
2980000 +15 114615
7500000 ±0 102740
4700000 +5 75806
6350000 +1 104098
4350000 +2 96667
3460000 NaN 82381
2460000 +7 102500
4250000 +6 114865
5900000 +7 96721
4150000 NaN 103750
3150000 +7 92647
4995000 ±0 64954
11630000 +11 117475
9000000 +7 97826
4300000 -1 81905
4820000 +12 112093
6025000 +15 95635
4200000 NaN 91304
4140000 +12 108947
8000000 -11 97919
2550000 +2 92727
3375000 +4 93750
3495000 NaN 89615
4330000 +8 113947
4160000 +7 84898
2550000 +6 106250
4900000 +4 89091
6900000 -1 84146
3450000 +8 93243
