#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
9610000 +20 85804
4610000 +21 103596
3610000 +21 95000
5600000 +17 109804
9600000 +1 105205
4475000 +21 117763
2900000 +26 107407
5030000 +18 98627
3620000 +13 106471
3150000 +26 116667
4890000 +17 132162
3400000 +26 121429
6460000 +12 105902
8750000 +15 104167
14100000 +31 138235
5200000 +16 123810
5750000 +28 135294
4850000 +16 104301
4600000 +24 117949
7900000 +22 127419
4700000 +24 109302
13510000 ±0 129904
13500000 +29 125000
13600000 +16 128302
3370000 +13 99118
4350000 +16 94565
8650000 +15 102976
7800000 +4 101299
6520000 +19 105161
2430000 +22 110455
6350000 +6 105833
3000000 +28 115385
7250000 +21 94156
6650000 +15 83125
2900000 +16 93548
3150000 +2 101613
4070000 +29 104359
7500000 +25 115385
4175000 +5 86979
15500000 +15 137168
3000000 +16 157895
10300000 NaN 98095
2725000 +16 118478
5800000 +16 128889
13900000 +16 108594
7025000 +12 119068
2790000 +30 139500
7700000 +12 111594
6170000 +15 112182
8500000 +22 126866
