#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
5100000 +7 94444
3700000 +16 115625
4300000 +13 98851
4000000 +14 97561
3800000 NaN 92683
4200000 +20 102439
4650000 +11 97895
4800000 +14 102128
5150000 +15 103000
2850000 +14 114000
7200000 +11 97297
3950000 +14 123438
4360000 +16 117838
6210000 +13 126735
2950000 +18 109259
4250000 +22 121429
6400000 ±0 80000
6800000 +19 115254
11050000 +16 124157
3350000 +16 104688
3350000 +14 90541
6150000 +3 97619
4300000 +8 93478
17860000 +23 122834
3700000 +17 98667
3150000 +13 95455
5300000 +9 89076
3100000 +5 72093
4400000 +11 104762
5250000 +17 90517
2920000 +17 94194
27700000 +11 139899
6910000 +12 87468
2940000 +23 113077
3480000 +1 105455
6150000 +8 94615
9400000 +13 113253
8450000 +6 115753
3300000 +29 132000
7310000 +18 97467
3050000 +13 108929
8900000 +25 125352
4675000 +28 116875
4500000 +29 115385
4950000 +18 95192
5600000 NaN 78873
3840000 -4 80000
4420000 +26 107805
3850000 -4 85556
2725000 +21 113542
