#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
6500000 ±0 91549
3500000 +17 81395
6995000 ±0 86358
12495000 ±0 109605
4210000 +9 91522
3300000 NaN 86842
7495000 -3 92531
6300000 +19 121154
3800000 +1 80851
4610000 +3 78136
6400000 -4 82581
13900000 +11 133654
5275000 +4 85081
3425000 +7 107031
7550000 +8 107857
6990000 +1 85244
2850000 +6 91935
4500000 -7 95745
2920000 +2 108148
7140000 +11 103478
11800000 -5 80822
6400000 +16 99225
3075000 +10 102500
3300000 ±0 94286
3300000 +10 106452
4590000 +4 77143
3850000 +10 85556
3250000 +9 112069
4380000 +14 81111
4075000 -3 88587
6200000 ±0 86713
4000000 +8 97561
4900000 +2 77778
3850000 ±0 104054
8450000 -6 111184
6850000 -2 95139
3750000 +9 113636
4075000 -5 63672
6700000 +6 104688
3395000 ±0 87051
6775000 +5 101119
9500000 -5 104396
2940000 +7 101379
9125000 +15 120066
4700000 +13 88679
4700000 +5 78333
3175000 +6 90714
3180000 +6 90857
4350000 +9 127941
5300000 +6 103922
