#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
8100000 +4 90000
3200000 +11 114286
9500000 +12 100000
2870000 +15 179375
10400000 -5 84553
3810000 ±0 105833
6495000 ±0 80683
3750000 ±0 104167
5270000 ±0 97593
2910000 +4 103929
7300000 +4 103546
7195000 ±0 81761
5980000 -3 76178
2410000 +10 89259
10525000 +5 120977
3600000 -6 83721
6700000 -3 82716
3275000 +13 109167
3825000 -3 98077
4200000 +6 113514
10500000 +5 101942
4800000 -9 102128
6500000 ±0 90278
5700000 -3 103636
4720000 +7 89057
7125000 +3 106343
2100000 -4 84000
2800000 +12 87500
4980000 +8 83697
14900000 ±0 100000
10200000 +3 110870
6475000 +8 85197
4900000 +23 106522
4400000 +10 118919
12500000 +9 148810
3215000 +15 103710
4940000 +3 89818
7100000 +10 95946
6300000 -3 81818
2830000 +9 108846
6000000 +4 103448
6800000 +16 107937
5500000 ±0 87302
2600000 ±0 136842
5100000 +2 86441
3350000 +2 82716
3610000 +10 95000
3110000 +4 88857
4850000 -3 90654
9000000 +6 102273
