#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
6050000 +17 110000
7230000 +11 73776
4250000 -5 68548
2950000 +6 89394
2430000 -3 90000
3195000 ±0 79875
8900000 -6 86408
5850000 -2 94355
9000000 -10 92784
3550000 +2 76344
4410000 -2 82430
2695000 ±0 96250
2250000 +3 100000
3630000 +5 86429
4100000 +3 109333
4385000 +7 78304
3600000 +3 90000
2450000 ±0 102083
3855000 +14 110143
2660000 +9 100377
4500000 +6 76271
11050000 +5 100455
3325000 +4 100758
11500000 +16 91270
10000000 +8 123457
4150000 +7 90217
2020000 +1 109783
8550000 +4 114000
7200000 -3 84706
5120000 +5 88276
2950000 +6 98333
6995000 ±0 79489
4650000 -7 78814
6800000 -3 113333
4200000 +20 107692
3495000 ±0 82235
7500000 -10 90361
5730000 +15 100526
8100000 +1 117391
4100000 +5 97619
2300000 -4 112195
12750000 +21 123786
4175000 +2 101829
3700000 -4 96104
6600000 +2 92308
4600000 -6 80702
2650000 +6 101923
4800000 +13 104348
3850000 -4 77000
2850000 -3 89063
