#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3550000 +19 101429
5850000 +17 89313
4750000 +27 118750
9100000 +14 91457
5600000 +26 110891
3975000 +17 101923
4350000 +25 124286
5000000 +28 114943
3175000 +6 85811
4575000 +27 105172
3650000 +14 104286
4150000 +32 133871
4800000 +20 107865
5300000 +7 89831
10200000 +13 112088
15050000 +4 107117
6800000 +5 90667
4200000 +20 107692
5300000 +18 123256
12450000 +17 115814
6500000 +18 85526
2750000 +25 114583
11550000 +39 139157
5000000 NaN 125000
3475000 +29 124107
9700000 +17 125974
4878000 +27 121950
3700000 +6 80435
7600000 +27 120635
4660000 +22 119487
9600000 +21 154839
3660000 +22 101667
5250000 +19 116667
4000000 +14 90909
8400000 +32 119149
4340000 +11 105854
3900000 +18 111429
7200000 +20 133333
3600000 +20 114286
6850000 +20 112295
7050000 +25 105224
5400000 +10 100935
3750000 +25 93750
5200000 +24 119540
10550000 +8 124118
6700000 +17 113559
6900000 +3 100000
5700000 NaN 100000
4300000 +13 102381
2865000 +22 106111
