#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
10250000 +17 136667
4050000 +19 90000
3430000 +15 98000
3110000 +15 155500
4760000 +19 97143
6050000 +14 90977
6975000 +1 101087
6900000 +10 100000
3950000 +8 106757
14200000 +29 157778
3650000 +4 110606
3100000 +11 124000
4620000 +23 94286
3305000 +27 113966
4920000 +17 117143
7500000 +9 87209
6900000 +10 125455
12025000 +20 146646
7850000 +8 112143
8675000 +9 104518
7700000 +4 92216
3700000 +24 113846
10450000 -1 108854
5600000 +24 116667
4950000 +8 91667
6170000 +15 120980
7500000 +21 119048
6550000 +10 114912
6950000 +7 110317
2700000 +13 101887
9000000 +20 128571
2050000 +3 128125
8400000 +5 95455
3715000 +24 117937
13300000 +27 112712
4300000 +23 126471
4100000 +11 102500
7700000 +5 95062
4950000 +24 137500
2490000 +25 138333
4450000 +11 102299
3400000 +14 100000
5060000 +13 91171
3800000 -5 120635
7700000 ±0 100000
9400000 +22 113253
4620000 +32 135882
3410000 +18 88571
6200000 +13 112727
4470000 +18 101591
