#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3100000 +15 100000
6250000 +14 91912
6415000 +12 101825
3875000 +18 113971
3550000 +11 118333
7400000 +9 90244
7750000 +29 127049
3290000 +32 137083
3360000 +20 98824
5725000 +21 119271
2800000 +13 121739
11000000 +11 125000
3800000 +21 97436
2525000 +10 93519
6100000 +22 117308
3250000 +9 108333
3550000 +19 98611
6700000 +9 81707
4175000 +19 101829
2660000 +27 110833
2660000 +16 110833
4580000 +15 99565
4400000 +17 110000
4200000 +20 113514
3700000 +25 105714
5725000 +22 116837
3710000 +13 106000
3850000 +21 97468
4300000 +23 110256
3800000 +23 111765
2800000 +17 81159
3050000 +24 117308
3500000 +4 87500
4025000 +15 98171
4550000 NaN 103409
3700000 +17 94872
2900000 +16 120833
15000000 +4 111940
3700000 +16 86047
9250000 +4 103933
13650000 +5 105000
2400000 +9 106667
5550000 +11 95690
6170000 +10 90735
6950000 +9 83234
3800000 ±0 79167
3950000 +7 94048
3700000 +16 94872
3400000 +5 69388
4300000 +13 100000
