#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
2700000 -3 81818
8300000 -1 98810
5500000 +2 101852
5700000 -1 95318
3700000 -3 78723
2265000 NaN 94375
4000000 -5 78431
3100000 +5 129167
2600000 +4 83871
5750000 +2 82143
2550000 +2 91071
3400000 +3 100000
3605000 +3 100139
4400000 +6 97778
3700000 -12 58268
11550000 +6 108962
2710000 +9 96786
4350000 -3 92553
6400000 +7 88889
3795000 ±0 82500
3395000 -6 87051
3330000 +11 86494
3200000 +7 103226
5000000 -2 83333
3500000 +3 76923
2750000 -2 91667
4925000 +12 96569
3620000 +4 84186
4350000 +9 108750
3900000 +16 114706
3400000 +14 91892
4000000 -11 81633
4240000 +1 86531
2750000 ±0 137500
3370000 +5 91081
7100000 +2 89873
7900000 -12 73832
3250000 +2 77381
5880000 +7 81103
2800000 +8 107692
9550000 -12 86036
6650000 -5 79167
4325000 +2 98295
3300000 +3 81481
13825000 +5 120217
8405000 +5 105063
2600000 NaN 141304
3750000 -3 81522
2900000 +4 93548
5750000 ±0 94262
