#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
5800000 +7 85294
3915000 -2 87000
3850000 +1 96250
2825000 +3 91129
5550000 +5 104717
5900000 -12 74214
3400000 +5 91892
3200000 -3 94118
3650000 -15 67593
3800000 -2 79167
3750000 +7 91463
4625000 -2 77731
5300000 ±0 88333
6150000 +1 85417
3070000 +4 90294
3775000 +15 99342
5650000 -2 75333
4450000 -1 75424
3600000 -3 102857
4810000 -4 94314
3140000 +5 82632
4450000 -9 76724
6050000 +1 74691
2850000 +2 91935
4800000 +7 114286
4250000 +18 80189
11375000 +8 108333
3550000 +9 94667
4750000 -2 77869
3900000 ±0 92857
9995000 ±0 104115
3000000 -3 78947
4950000 -5 73881
4750000 ±0 89623
12400000 -3 94656
3350000 +12 84810
9050000 -5 89604
6010000 ±0 95397
1980000 -8 123750
5175000 +4 97642
5950000 -5 97541
7500000 -12 122951
3600000 +3 102857
7550000 +1 90964
11250000 +2 103211
3995000 ±0 95119
5620000 -6 98596
5200000 +1 96296
4840000 +8 98776
3280000 -5 88649
