#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
4600000 +16 117949
4785000 +29 104022
4810000 +27 111860
3500000 +21 102941
3100000 +13 88319
9000000 +13 104651
3300000 +10 82500
3100000 +24 112727
10300000 +29 137333
6510000 +26 112241
4550000 NaN 128169
5075000 +9 107979
8100000 +5 92045
6250000 +18 109649
3900000 +20 96296
4900000 +23 120988
5800000 +10 86567
7325000 +22 101736
3070000 +14 87714
5180000 +30 97736
3900000 +15 111429
3425000 +16 90132
4925000 +12 114535
3350000 +22 111667
2525000 +17 112222
22700000 +1 117617
7400000 +23 94872
6800000 +13 113333
3750000 +25 133929
7425000 +24 114231
5450000 +17 87903
5525000 +23 115104
9050000 +19 112422
7550000 +17 127966
7050000 +13 119492
6875000 +32 122768
7675000 +15 97771
6100000 +4 96825
8500000 +31 130769
4000000 +21 95238
8400000 +24 115068
2850000 +21 118750
7625000 +34 104452
4000000 +21 81633
16300000 +8 107237
13300000 +17 116667
3280000 +10 100923
4600000 +19 100000
4900000 +20 104255
8550000 +14 83415
