#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3500000 +6 89744
4150000 +28 103750
4275000 +19 142500
3795000 ±0 108429
3700000 -3 77083
4830000 +9 79180
2450000 +2 90741
3765000 +2 75300
4460000 +13 101364
8265000 +19 123358
3100000 +7 155000
8100000 +7 106579
2850000 +7 103636
4400000 -2 92632
3075000 +8 107895
3700000 +7 93199
5900000 +3 89394
3900000 +4 84783
7900000 +13 78607
3950000 +1 96341
3500000 +6 112903
7100000 -5 88750
3980000 +2 92558
4100000 +8 83673
7900000 +5 102597
3200000 +7 91168
3900000 -2 82105
4220000 +11 95909
3450000 -1 78409
4150000 +4 84694
2710000 NaN 122072
4250000 +6 94444
4600000 +10 115000
2900000 +2 93548
3500000 +1 97222
6300000 -3 98438
5160000 +17 90526
4995000 -4 80565
6485000 ±0 86467
3900000 +3 86667
4660000 +5 76393
5995000 ±0 103720
3175000 +6 90714
6600000 +3 92308
6500000 +10 101563
6150000 +3 80921
2420000 -3 110000
12000000 +1 129032
4175000 +16 109868
11000000 -4 96491
