#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
6800000 +5 89474
4025000 +9 95833
4050000 +4 96429
9700000 +10 116867
8050000 +5 91477
4125000 +15 117857
3400000 +14 89474
4050000 +8 98780
3275000 +13 102344
4550000 +6 105814
4125000 +9 103125
2800000 +10 103704
7320000 +2 92075
3500000 ±0 92105
3525000 +10 90385
2815000 +10 117292
4270000 -13 72373
4400000 +10 69841
3200000 -2 81013
3350000 +12 85897
3750000 -1 81522
5850000 +2 86029
3300000 ±0 88000
4170000 -3 94773
3520000 -2 89114
8300000 +11 94857
6700000 ±0 86452
2495000 ±0 103958
6125000 -3 72917
7775000 -7 99679
12800000 -9 88581
6700000 -4 76136
3100000 +4 100000
3600000 -8 81818
4460000 +4 92917
3400000 NaN 97143
6050000 -1 93077
2250000 +3 100000
12850000 +1 94485
6400000 -1 84768
11000000 ±0 94017
4400000 +4 102326
6010000 +3 95397
3350000 -1 90541
7000000 +1 97222
2700000 +4 96429
3600000 +3 87805
3200000 +7 94118
5650000 -12 86923
2600000 +9 108333
