#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
7070000 +15 101000
7520000 +17 112239
3455000 +20 111452
3525000 +18 100714
5960000 +15 108364
2400000 +20 109091
5150000 +7 75735
8200000 +5 105128
3900000 +15 90698
5600000 +13 93333
4120000 +12 132903
7075000 +4 110547
2795000 ±0 77639
3560000 +19 94933
6400000 +15 95522
9100000 +21 116667
8525000 +14 106563
5750000 +6 80986
6310000 +21 114727
6650000 +11 84713
6700000 +38 124074
4100000 +21 110811
4600000 +24 105747
7675000 +14 103020
2900000 +8 80556
12600000 +15 131250
6325000 +16 78086
8450000 +21 119014
5550000 +31 127586
3000000 +11 107143
6200000 +24 98413
7200000 +4 112500
10225000 +2 104337
6110000 +5 91194
5650000 +18 97414
3300000 +14 92179
4300000 +9 119444
3750000 +7 100000
3240000 +16 75349
3750000 +7 96154
3750000 +9 78947
6100000 +2 87143
9850000 +23 111932
4700000 +22 110588
2780000 +3 79429
2600000 +18 108333
6500000 +14 114035
3450000 +2 90789
3050000 +9 81333
2650000 +21 108163
