#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
5000000 +25 128205
2730000 +11 97500
7200000 +9 91720
5250000 +14 98131
3050000 +13 108929
7200000 NaN 126316
4800000 +17 123077
2930000 +47 146500
4200000 +31 110526
5570000 +2 174063
9500000 +19 125000
3270000 +31 88378
10500000 +11 93416
3900000 +5 97500
12425000 +24 153395
3060000 +39 133043
3775000 +11 83889
6200000 +19 155000
3675000 +17 89634
5000000 +19 90909
22000000 +16 134969
7050000 +23 110156
15000000 +3 122951
3350000 +24 101515
4300000 +20 119444
3825000 +13 109286
3000000 ±0 82192
10050000 +18 108649
4300000 +13 90526
4400000 +13 89796
5620000 +14 108077
4100000 +8 100000
6580000 +10 121852
3800000 +12 87356
3850000 +22 98718
7000000 +21 132075
4000000 +23 115942
2525000 +15 112222
5950000 +11 104386
4685000 +12 126622
2470000 +24 109778
4105000 +17 124394
3275000 +17 99242
6000000 -3 82759
4920000 +31 114419
3455000 +15 95972
4620000 +16 107442
3700000 +16 86047
3375000 +17 120536
4625000 +3 100543
