#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
2650000 +21 126190
4540000 +20 87308
4100000 +3 73214
3295000 ±0 82375
3440000 +9 88205
3700000 +3 85057
3600000 +6 92308
6300000 -2 80769
5300000 -3 85484
3150000 -3 95455
8225000 +10 86579
7150000 +3 123276
2750000 +15 110000
16850000 -9 110131
4400000 +10 110000
6750000 -10 82317
4325000 +8 94022
2810000 +13 108077
6300000 +2 81290
3800000 +15 95000
2160000 +8 109091
3150000 +5 84000
4800000 +1 87273
6900000 +6 115000
1995000 ±0 108424
7500000 -4 83333
5350000 -11 82308
4050000 +1 93103
6400000 +13 98462
3650000 +8 107353
3000000 +20 103448
4600000 +6 97872
8295000 ±0 86406
7000000 NaN 116667
2330000 -2 103556
3800000 -5 92683
7000000 +5 107692
2650000 +15 135897
4495000 ±0 84811
4095000 ±0 91000
4175000 +5 86979
2195000 ±0 97556
11500000 ±0 123656
5250000 ±0 91304
5050000 -5 90179
9000000 +3 92308
6500000 -4 83871
6600000 +10 81481
4800000 -9 88889
9650000 -3 85022
