#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3100000 +5 106897
4050000 +16 82653
3220000 +15 115000
4900000 +9 111364
14500000 +16 116935
4450000 -3 134848
3100000 +4 114815
5000000 +8 113636
6575000 +10 109583
6700000 +12 91781
6345000 +11 94701
11300000 -2 97835
6500000 +18 107438
5900000 +2 90769
3150000 ±0 67021
2425000 +22 110227
3300000 +18 106452
3995000 ±0 87802
16900000 +6 114189
4100000 +12 103797
3160000 +6 105333
5550000 +5 100909
3750000 +15 98684
6300000 +5 112500
3355000 +12 111833
2925000 +17 132955
3315000 +23 127500
3800000 +12 84444
12500000 +7 116822
4425000 +23 116447
2800000 +14 121739
2100000 +5 114130
2700000 +15 93103
13650000 +1 150000
3200000 +11 118519
8000000 +6 115942
3700000 +24 127586
7000000 +2 88608
10895000 ±0 91555
6100000 +11 119608
7490000 +17 115231
4750000 +11 96939
2850000 +24 123913
3200000 +8 91429
9700000 +6 105435
5750000 +19 104545
2900000 +16 116000
2932692 -10 112796
4055000 +16 112639
8150000 ±0 92614
