#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
6500000 +4 85526
3925000 ±0 99367
4550000 +14 108333
11100000 +33 146053
7500000 +14 95541
2800000 +14 107692
3050000 +2 101667
3800000 +12 100000
8700000 +25 91579
9400000 +15 92157
6675000 +7 115086
4200000 +20 113514
7000000 +23 122807
8400000 +17 100000
6200000 +13 119231
5200000 +13 92857
10200000 +7 94884
8000000 +14 119403
8400000 ±0 123529
5500000 +5 91667
6550000 +14 116964
11800000 +18 115686
4700000 NaN 123684
12700000 +21 147674
5590000 +12 90161
5550000 +23 95690
7000000 +27 92105
5050000 +15 112222
2500000 +16 89286
7050000 +13 97917
9320000 +35 127671
8320000 +19 132063
4300000 +23 116216
6825000 +9 103409
3700000 +16 92500
3900000 +22 114706
5640000 +13 120000
6500000 +23 116071
2900000 +32 131818
3850000 +11 116667
8200000 +17 103145
3940000 +20 109444
5900000 +19 118000
8650000 +15 101765
3600000 +20 94737
3210000 +21 118889
6260000 +25 149048
4300000 +12 117808
11600000 +20 123404
4300000 +12 88660
