#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
4880000 -1 95686
6100000 +2 98387
6320000 -1 108966
4550000 +6 130000
2450000 +2 100000
2475000 +5 103125
4800000 +12 104348
9950000 +2 110556
6100000 +11 122000
3400000 +14 106250
3900000 +6 105405
5400000 -1 100000
3850000 +4 81915
8100000 +6 92045
6300000 NaN 95455
2300000 +15 104545
6400000 -4 118519
5150000 +7 103000
4155000 +4 101341
2485000 NaN 103542
7700000 +12 99355
5100000 +5 124390
6275000 +5 114091
3450000 +8 73404
11995000 ±0 103853
2775000 +3 77083
6500000 +8 107438
15500000 +3 139640
3200000 +7 84211
2225000 +12 120924
4375000 +5 91146
5800000 +6 87879
17500000 +3 134615
3800000 +3 82609
4150000 +19 112162
5200000 +4 96296
5950000 +1 85000
6000000 +9 113208
5160000 +5 88966
2900000 +8 120833
4500000 +13 112500
4250000 +6 125000
3650000 +8 98649
4450000 +11 92708
3570000 +10 93947
9430000 +11 112262
6300000 +1 93333
5800000 +6 93548
4650000 +9 96875
3980000 +14 92558
