#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
4600000 -2 93878
5110000 +15 116136
3710000 +13 103056
3400000 +19 115254
6900000 -1 102985
4350000 +15 111538
4000000 +1 95238
4450000 -5 92708
2400000 +5 104348
4310000 +15 95778
7300000 +12 114063
7700000 -4 86517
4620000 +16 102667
2950000 +2 68605
3250000 +9 95588
6800000 +2 83951
3260000 +9 88108
9445000 ±0 89952
5020000 +12 66140
4675000 +18 85000
8500000 -12 87629
3160000 -1 90286
7900000 -1 90805
8600000 -4 80000
3065000 -3 82838
3950000 -1 89773
4950000 +4 99000
4525000 +5 80088
3500000 +14 100000
3700000 -5 94872
7550000 +12 98052
5475000 ±0 91250
4100000 -5 74545
4450000 +7 105952
11850000 -5 132402
7275000 -3 101042
5525000 +13 120109
3670000 +5 90617
4285000 -5 69113
6525000 +13 106967
3200000 NaN 76190
3625000 NaN 109848
7500000 ±0 108696
2750000 +2 105769
4120000 NaN 85833
11500000 -4 112745
6000000 -10 71429
4650000 -10 91176
9550000 -12 101596
3410000 +14 113667
