#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3450000 +1 84146
3195000 -5 114107
9050000 +7 106471
7920000 +16 100253
17150000 +8 154505
5015000 ±0 71643
3830000 -4 76600
6200000 -8 105085
5300000 +6 74648
4300000 -6 82692
7025000 ±0 94932
8600000 -3 86000
3200000 -3 103226
3200000 +3 91429
4700000 -1 81034
3175000 +6 85811
6975000 +11 107308
4200000 +5 102439
8450000 +15 105625
5600000 +2 90323
7200000 -1 83721
4450000 +11 108537
3495000 ±0 105909
7825000 +9 100321
8250000 +3 103125
3460000 +2 108125
4050000 +8 88043
6970000 +11 102500
5595000 ±0 82279
4750000 -5 105556
2610000 -2 75652
5600000 ±0 91803
3295000 ±0 86711
3200000 -15 65979
4100000 -5 110811
3075000 +3 87857
2800000 NaN 81159
5000000 -6 84746
7570000 ±0 86023
2495000 ±0 108478
3550000 +2 90331
7150000 +19 113492
4225000 +6 90860
4500000 +13 107143
5950000 -1 78289
11000000 +1 98214
3400000 -3 91892
5320000 +7 88667
3495000 ±0 72813
6150000 +3 99194
