#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
10800000 +10 111340
13500000 +29 170886
7000000 +9 94595
13200000 +26 136082
17000000 +8 125000
8500000 +13 93407
7050000 +18 117500
6475000 +14 95221
4740000 +19 98750
7250000 +21 115079
4000000 +27 108108
3600000 +20 120000
3000000 +12 93750
3900000 +13 102632
5000000 +11 89286
4200000 +20 102439
3450000 +17 101471
4200000 +11 100000
3250000 +21 98485
6100000 +9 96825
5450000 +9 92373
4410000 +6 95870
7500000 +21 96774
4550000 +14 98913
9150000 +16 118831
8700000 +24 116000
8050000 +16 118382
4550000 +14 110976
3300000 +27 110000
5715000 +15 103909
13150000 +26 124057
6150000 +10 99194
3300000 +10 106452
7500000 +14 98684
8325000 +11 122426
8000000 +5 89888
8250000 +18 139831
14200000 +19 127928
7850000 +26 100641
3800000 +6 95000
6225000 +13 119712
4400000 +10 94624
3320000 +23 118571
5200000 +21 108333
7500000 +36 102740
3000000 +5 96774
2700000 +26 112500
7700000 +10 91667
3450000 +23 123214
5550000 +12 118085
