#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
7000000 -3 93333
3900000 +6 86667
2995000 ±0 76795
3170000 -9 105667
4340000 +9 85941
6800000 -5 95775
8150000 +2 85789
4950000 -10 90000
2750000 +2 88710
3650000 -5 91250
3200000 ±0 76190
4050000 +10 92045
6200000 +10 106713
4025000 +5 89444
3090000 +3 82400
7800000 -8 79188
3650000 +4 93590
4400000 +2 80000
3275000 +13 116964
4700000 -3 134286
8310000 +1 97765
3300000 -6 78571
3350000 +6 82716
4325000 +8 98295
5365000 +7 101226
11500000 -18 97458
3300000 +12 97059
7595000 ±0 83005
4495000 ±0 84811
3535000 -6 98194
3300000 -4 88000
4225000 -6 93889
3300000 -6 86842
4690000 ±0 88491
8000000 -10 89888
3325000 +11 100758
2950000 +6 95161
18500000 +3 110119
5500000 -11 70513
4275000 +7 77727
3775000 +8 77835
8995000 ±0 112438
7300000 -8 97333
2985000 +3 99500
12000000 -7 100000
5375000 -1 79044
3625000 -3 75521
2100000 -14 110526
4030000 +1 83958
4800000 ±0 74419
