#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
6600000 +12 117857
4750000 -4 80508
4195000 -7 99881
6060000 +1 82449
3000000 ±0 115385
3650000 -3 86905
4965000 +4 91944
3200000 +2 79012
5225000 -5 90086
3350000 -9 81707
8600000 -3 121127
5600000 -5 75676
3850000 +1 73333
4400000 +2 72727
3370000 +13 102121
2800000 NaN 121739
7650000 -4 86932
11700000 -6 127174
9750000 -6 113372
8100000 -2 106579
5810000 +11 86716
6120000 +2 96378
7400000 +6 87059
7910000 +3 106892
3295000 ±0 84487
6000000 ±0 92308
5500000 ±0 73333
7100000 +6 87654
4200000 -2 84848
5200000 -2 104000
7500000 -3 91463
5310000 -3 96545
4350000 +1 88776
3650000 +8 104286
3600000 +3 102857
4725000 -5 75000
2540000 +6 130256
5960000 +13 97705
6500000 ±0 91549
3770000 -5 76939
6410000 +7 84342
7400000 -3 92500
8270000 NaN 108816
7230000 +8 107910
3745000 -4 96026
4600000 +8 100000
2975000 +3 106250
6700000 +12 100000
2660000 -5 120909
3620000 +4 84186
