#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
4700000 -2 102174
2720000 +9 113333
3300000 +5 82500
3300000 +14 110000
3700000 +12 93671
4150000 +4 96512
3100000 +7 100000
5695000 ±0 81357
2900000 +16 107407
7500000 +7 95541
8300000 +4 112925
4750000 +19 118750
3200000 +7 85333
7100000 +2 105970
3800000 +12 105556
5400000 +15 128571
6300000 +11 103279
11500000 +17 111650
5225000 -3 81008
2800000 +12 103704
6150000 -9 80921
4350000 +9 100000
3100000 +11 100000
6100000 +2 75309
5250000 +1 99057
4300000 +8 95556
3450000 +15 93243
8540000 +7 100471
3100000 +4 81579
6000000 +20 109091
8150000 +16 140517
2850000 +14 91935
8250000 +3 89674
8500000 +7 104938
3010000 +12 115769
6850000 +1 80588
7700000 +3 101316
8000000 +7 94118
3350000 +16 111667
5825000 +10 121354
4600000 +10 104545
4150000 +12 96512
9400000 +3 104444
5050000 NaN 103061
4500000 +13 107143
10800000 ±0 117391
2700000 +8 96429
6600000 +3 87417
10350000 -3 85537
4475000 +21 116234
