#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
7800000 +20 99363
10350000 +22 104020
4000000 +29 100000
13350000 +11 113136
3200000 NaN 94118
27300000 +9 135149
8250000 +3 94828
6950000 +16 108594
5475000 ±0 96053
14500000 +7 127193
8300000 +8 107792
4000000 +4 109589
4000000 +15 102564
19650000 +12 136458
3375000 +21 112500
6502500 +21 127500
3815000 +10 127167
4075000 +10 110135
9025000 +20 134701
7100000 +10 95946
3500000 ±0 76923
4200000 +27 98824
3250000 +9 86667
3650000 +8 96053
2725000 +24 113542
4250000 +15 91398
14100000 +41 134286
8605000 +27 122929
6160000 +4 86761
5800000 +29 101754
2600000 +6 96296
6210000 +24 121765
6500000 +8 104839
3500000 +19 100000
5400000 -4 71053
7500000 +14 96154
4375000 +15 109375
4400000 +17 86275
7800000 +14 90698
7625000 +19 101667
8200000 -8 94253
6200000 +3 95385
5100000 +6 100000
3750000 +25 104167
7900000 +22 114493
4330000 +24 111026
3300000 ±0 86842
12500000 +4 112613
2560000 +19 113778
7800000 +8 91765
