#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
4900000 +11 100000
3725000 +24 95513
5050000 +6 93519
3350000 +12 111667
5950000 +19 121429
10600000 +12 90598
4500000 +20 107143
4000000 +19 85106
3050000 +2 92424
3500000 +23 102941
3650000 +16 117742
2730000 +14 97500
3200000 +12 91429
8000000 +7 86486
7350000 +13 120492
3750000 +25 93750
3430000 +20 112459
10350000 +29 127778
3150000 +9 116667
3510000 +17 81628
3700000 +16 112121
2950000 +23 122917
12800000 -1 115315
2820000 +18 122609
6975000 +16 112500
2900000 +45 120833
5925000 +48 144512
4675000 +17 116875
3500000 +6 97222
2890000 +23 103214
7150000 +4 87730
4050000 +36 115714
3600000 +14 84706
2750000 +25 171875
21250000 +21 131173
10550000 +17 112234
7075000 +18 115984
5550000 +19 88800
3400000 +22 106250
4700000 +12 94949
10500000 +5 108247
3900000 +12 90698
5200000 +8 86667
4800000 +7 102128
15000000 +16 119048
2750000 +17 102996
9100000 +11 93814
6050000 +10 94531
3600000 +6 76596
3100000 +7 103333
