#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3600000 +3 91139
5000000 ±0 92593
7000000 +2 104478
3440000 +1 81905
4025000 +4 89444
3000000 ±0 88235
3445000 +1 95694
3995000 -5 95119
5450000 -4 86508
12300000 -15 88489
5300000 +6 81538
3770000 +14 99211
4475000 +7 97283
3270000 +9 102188
3250000 +5 90278
4550000 +32 108333
4100000 -2 91111
2965000 +6 109815
3300000 -6 86842
5700000 -5 77027
3300000 +10 100000
2750000 -4 80882
2650000 +6 108163
5300000 +9 91379
3200000 NaN 88889
9575000 -4 136786
6200000 +5 96875
3300000 +10 106452
5300000 +6 115217
5750000 -1 92742
3400000 -3 79070
4300000 +4 97727
7160000 +10 84235
3350000 +14 97668
4600000 +2 87619
3850000 +7 75490
4600000 +10 87619
5240000 +7 109167
5500000 -5 88710
3985000 +14 97195
3495000 ±0 89615
4400000 +5 81481
4020000 +1 82887
2875000 +17 106481
2790000 +12 132857
5130000 +14 102600
3825000 -4 85000
3825000 +9 88953
3625000 +4 95395
5500000 +10 119565
