#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
7300000 -5 104286
8100000 +2 112500
4695000 +4 92059
4750000 +6 85586
6850000 +5 107874
2875000 +15 99138
6600000 -3 103125
5710000 +2 90635
4500000 -6 75000
2100000 +5 114130
2525000 +5 90179
9675000 +14 108708
7500000 +4 105634
2720000 +36 113333
4000000 ±0 105263
6100000 +2 96825
4500000 -5 86538
3175000 +7 93382
3150000 +5 81818
3600000 +3 85714
4050000 +10 90000
12760000 +17 146667
10600000 +7 107071
3100000 +15 155000
4160000 +14 130000
5300000 +6 100000
11100000 +1 100452
8100000 +8 110959
8000000 +11 93567
7920000 +13 91034
3650000 +3 81111
5350000 +19 127381
3050000 +2 98387
9000000 +6 101124
5020000 +8 96538
3995000 +25 97439
4100000 +3 105128
4800000 -4 67606
14000000 +9 153846
5000000 +11 90090
3900000 +12 76471
6500000 +2 87838
3350000 +12 93056
2850000 +14 80282
3880000 +18 91294
9100000 +8 110976
3100000 +9 91176
3200000 +14 106667
8300000 +4 98225
4400000 +10 107317
