#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
6000000 ±0 96774
2620000 +5 90345
4500000 +13 97826
4850000 NaN 94175
4125000 -2 105769
2820000 +1 80571
5210000 -5 113261
2800000 +12 103704
6150000 NaN 94615
5500000 +11 105769
8200000 -3 98795
3550000 +8 95946
4630000 +3 71783
3150000 +5 78750
4330000 NaN 88367
9600000 -4 98969
5995000 ±0 105175
4050000 -1 90000
6295000 ±0 92574
4500000 +2 84906
7400000 ±0 91358
3425000 +9 107031
8700000 +2 117568
5150000 +6 88793
3095000 ±0 91029
3100000 -3 110714
2495000 ±0 113409
3180000 +10 90857
3060000 +9 92727
6500000 ±0 82803
2800000 NaN 103704
3350000 +12 111667
5995000 ±0 107054
3180000 +6 90857
8250000 +10 125000
4900000 +4 75385
3255000 +2 87973
4450000 +6 108537
3500000 +1 85366
4910000 +5 104468
2725000 -11 93966
7150000 +8 88272
3050000 -5 79221
6130000 +2 79610
3150000 ±0 98438
4550000 +7 85849
6450000 -1 73295
7050000 +1 96575
6800000 ±0 100000
3500000 ±0 85366
