#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
4335000 +33 127500
3625000 +19 116935
4350000 +18 88776
4550000 +23 113750
13375000 +12 126179
4735000 +5 112738
6100000 +4 98387
4600000 +15 131429
3125000 +4 93284
8700000 +9 114474
10275000 +21 122321
8750000 +7 90206
3850000 +17 93902
4500000 ±0 109756
7600000 +17 124590
8150000 NaN 123485
4025000 +15 95833
8900000 +24 118667
17100000 +27 146154
14000000 +22 141414
3600000 NaN 105882
6400000 +8 108475
7600000 +17 97436
7100000 +18 118333
3650000 -5 98649
5600000 +15 114286
5850000 +4 110377
9775000 +9 125321
4900000 +9 108889
9650000 +21 109659
3320000 +25 127692
10200000 +13 113333
4300000 +15 102381
6100000 +11 119608
4200000 +14 76364
7725000 +33 128750
3800000 +9 93827
4150000 +11 101220
7450000 +26 104930
3500000 +6 116667
4200000 +17 97674
3130000 +18 125200
2950000 +29 122917
4720000 +18 112381
6520000 +19 141739
7350000 +13 124576
3700000 +14 123333
2500000 +14 119048
6700000 +20 119643
3800000 NaN 96203
