#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3950000 NaN 109722
11200000 +15 92562
3800000 +21 93827
4825000 +15 84649
5850000 +30 130000
5400000 +15 93103
4000000 +34 129032
3100000 +13 110714
5700000 +14 90190
2510000 +20 111556
4220000 +13 91739
5850000 +6 91406
5450000 +14 126744
4000000 +22 111111
3400000 +14 77273
7800000 +15 93413
5625000 +2 84586
4900000 +17 122500
23000000 ±0 175573
7700000 +19 124194
5300000 +21 120455
3875000 +29 129167
4350000 +9 120833
4350000 +14 106098
5900000 +28 107273
3250000 +12 98485
6350000 +27 124510
4575000 +15 93367
5950000 +19 116667
7400000 +23 120325
2700000 +23 108000
7800000 +8 97500
4000000 +1 97561
4100000 +21 88172
12100000 +35 139080
7000000 +18 103704
3625000 +17 103571
3900000 +12 84783
7265000 +23 103786
11000000 +22 101852
6650000 +7 99254
3975000 +14 101923
3960000 +24 90000
5130000 NaN 104694
4850000 +45 142647
4300000 +13 102381
9000000 +25 111111
10000000 +25 121951
4065000 +23 101625
4050000 +16 122727
