#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3950000 +13 103947
3520000 +18 83810
6850000 +14 118103
5750000 +19 104545
5200000 +24 127764
3400000 +26 117241
3700000 ±0 88095
3700000 +9 82222
7400000 +15 94872
3700000 +24 97368
3300000 +18 94017
4200000 +14 102439
3900000 +18 100000
3450000 +15 113115
3600000 +11 109091
7400000 +6 112121
3550000 +25 136538
4205000 ±0 78598
2600000 +30 120930
3000000 +31 122449
5970000 NaN 135682
6250000 +14 78125
3400000 +36 106250
3000000 +4 69767
12650000 +8 119340
3210000 +15 84474
4640000 +22 125405
6700000 +22 100000
5100000 +22 118605
3350000 +24 126415
5200000 +13 91228
5800000 +3 101754
3705000 +24 92625
3740000 +25 98421
4800000 +14 88889
4150000 +19 133871
4300000 +21 110256
3500000 +17 100000
3100000 +24 110714
7180000 +9 89193
5950000 +9 94444
4200000 +15 89362
4850000 +16 105435
5700000 +27 98276
7900000 +26 117910
4530000 +13 95368
7650000 +9 98077
3235000 +30 115536
3620000 +21 95263
3200000 +19 96970
