#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
2195000 ±0 119293
6320000 +5 97231
7580000 +8 91325
3875000 +14 121094
6315000 +8 110789
4825000 +34 125325
4900000 +20 111364
3540000 +12 95676
2600000 +13 100000
3915000 +23 105811
9050000 +21 139231
5550000 +11 95690
7200000 +8 89441
12250000 +11 112903
7600000 +21 118750
8000000 +15 105263
5700000 +14 110680
3725000 +7 103472
3900000 -1 72897
6975000 +17 122368
6650000 +11 91096
7500000 +8 110294
5300000 +6 85484
3910000 +31 118485
4235000 +12 111447
17000000 NaN 165049
5250000 +5 90517
6450000 +12 107500
11800000 +18 129670
20000000 +18 144928
4600000 +16 109524
2730000 +9 105000
2875000 +15 110577
3770000 +18 94250
6495000 ±0 104758
3650000 +8 74490
5900000 +10 88060
8800000 +26 117333
3620000 +21 106471
5680000 +8 93115
9300000 +1 120779
9650000 +10 113529
9500000 +19 114458
5500000 +10 101852
3250000 +30 135417
6000000 +5 82192
3350000 +3 77907
12400000 +22 130526
4075000 +17 101875
4375000 +25 102941
