#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
2500000 -7 80645
4250000 -2 86735
7600000 +1 107042
4400000 +3 95652
7600000 +9 107042
6300000 -2 95455
4950000 +6 89189
5000000 +5 90909
4300000 ±0 81132
4400000 +11 94624
6550000 ±0 97761
10500000 +8 101942
5900000 -2 96721
3500000 +11 101449
4600000 +15 97872
6400000 +2 82581
4145000 +9 109079
3610000 +21 100278
5600000 +6 91803
3400000 -5 80952
2620000 +19 127805
6350000 +3 105833
3395000 ±0 72234
15995000 -9 103194
2779000 +5 95828
6950000 -2 90260
7300000 +4 93590
9000000 +13 115385
10750000 -20 106436
12500000 ±0 140449
2350000 +18 114634
3875000 -2 79082
11250000 +18 135542
6100000 +2 78710
6750000 +6 93750
3050000 +9 80263
7000000 +8 102941
10600000 +1 123256
11450000 -3 105046
2850000 +6 101786
7000000 +8 106061
3503333 +17 106162
3150000 +3 95455
3050000 +22 110909
9250000 +19 110119
3200000 ±0 84211
6800000 +5 88312
3550000 +11 110938
10220000 ±0 95514
8325000 +2 100301
