#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3500000 -3 72165
4550000 -4 78448
9900000 -6 91667
10600000 NaN 99065
5200000 -5 78788
3000000 +4 85714
6200000 -10 86111
3400000 +3 103030
5400000 -2 93103
4500000 -4 83333
3750000 +7 96154
4495000 ±0 81727
8100000 -5 100000
6950000 ±0 90260
7700000 +1 87500
2715000 +5 96964
4070000 +9 110000
3800000 +7 87356
11500000 +12 125683
4450000 -1 79464
12770000 +7 86459
5500000 NaN 125000
7600000 -3 90476
5400000 +3 72000
4500000 +13 90909
6500000 +3 98485
5200000 +12 92857
2700000 -3 100000
6300000 -10 81818
5250000 -5 102339
3600000 +3 76596
6200000 +24 91176
2800000 -3 90323
3400000 ±0 72340
9900000 -1 121472
8795000 ±0 109938
6900000 NaN 107813
5400000 -6 98182
7400000 +1 108824
4200000 +9 100000
16000000 -9 114286
18350000 -20 127431
3700000 +6 92500
13500000 +8 108000
6200000 -9 86111
4700000 +5 100000
3150000 +9 90000
4330000 +4 94130
4350000 -3 88776
3450000 +3 98571
