#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
6900000 +15 111290
5800000 +6 86567
3750000 +17 92593
3800000 +15 105556
3030000 +27 121200
3070000 +40 153500
3720000 +13 103333
4700000 +12 101075
3000000 +4 103448
3200000 +11 114286
13400000 +22 136735
6800000 +10 100000
3620000 +13 90500
8050000 +7 91477
10720000 +19 137436
3260000 +3 108667
4225000 +8 88021
3000000 +12 111111
3450000 +17 98571
5500000 +47 129412
5100000 +6 86441
3430000 +20 103939
13100000 +9 119854
3660000 +13 93846
9675000 +26 120938
7780000 +12 123492
6150000 +12 123000
5525000 +15 136420
4420000 +19 102791
10210000 +20 124512
3600000 +20 94737
6500000 +13 100775
4050000 +7 98780
3480000 +6 88101
4050000 +16 96429
3850000 +15 114925
7250000 +12 106618
6925000 +28 135784
5625000 +1 83955
4250000 +6 77982
5500000 +22 134146
7250000 +1 105072
6050000 +6 85211
6500000 +7 79268
3650000 +22 114063
10600000 +9 112766
5000000 +25 111111
2750000 +17 105769
10900000 +22 170313
7560000 +8 95696
