#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
7900000 +7 108219
8825000 +4 98056
5400000 -2 70130
3300000 +3 91667
4650000 +8 103333
3600000 -3 98630
3300000 +5 97059
4050000 +13 94186
7100000 +18 120339
2900000 +26 128889
6675000 +7 94014
6410000 +7 101746
3630000 +21 103714
5450000 +11 111224
10500000 +19 128049
3900000 ±0 95122
5750000 +13 112745
2850000 +19 118750
5950000 +8 114423
4725000 +8 105000
6250000 +14 117925
7250000 +4 103571
3500000 +17 92105
8350000 +7 119286
5005000 +25 107634
4225000 +11 97126
9500000 +9 125000
11250000 +10 103211
2950000 +29 140476
3000000 +20 96774
4920000 +3 93714
3100000 +24 100000
5950000 +13 116667
3050000 +9 92424
3375000 +13 105469
5750000 +15 112745
6980000 +5 81637
3400000 +6 89474
7360000 +5 85581
3540000 +18 118000
5100000 +2 95327
6800000 +5 107937
5500000 +34 107843
11200000 +6 107692
3990000 +21 117353
3910000 +19 95366
5310000 +7 112979
16000000 +7 123077
3975000 +19 95783
5250000 ±0 98131
