#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
3500000 +19 100000
4300000 -2 81905
2800000 +12 101818
7550000 +1 93210
3465000 +2 73723
6380000 +7 95224
2285000 +6 114250
6100000 -4 78205
6350000 -1 80892
2400000 +2 97959
2350000 ±0 95918
3020000 +12 86286
3605000 +6 92436
3850000 +4 77000
5495000 ±0 101759
2950000 +6 105357
4700000 +19 109302
6225000 +4 103750
3175000 +6 83553
2975000 +1 106250
4400000 -4 91667
4200000 +8 131250
9150000 +4 101667
2660000 ±0 95000
6500000 -3 78313
3400000 NaN 95506
5100000 +2 96226
5450000 +4 95614
3500000 +6 74468
3150000 +11 95455
5495000 ±0 84538
3930000 +8 103421
6400000 ±0 81529
4500000 +8 83333
4595000 -12 85888
2700000 +8 108000
6850000 +2 90132
3900000 +3 97500
5160000 NaN 99231
3625000 +21 106618
2500000 -7 75758
5600000 +4 90323
3655000 +5 96184
3200000 +7 103226
3665000 +5 104714
5050000 +6 103061
2550000 +6 91071
5400000 +18 101887
5550000 +1 97368
8000000 +3 102564
